model,val_mae,val_rmse,val_directional_accuracy,test_mae,test_rmse,test_directional_accuracy
naive_last_return,0.008757621981203556,0.011433660052716732,0.5416666666666666,0.010373110882937908,0.01613648608326912,0.5391705069124424
ma5_last_returns,0.006944221444427967,0.009337711147964,0.5138888888888888,0.008153852075338364,0.013314228504896164,0.5161290322580645
linear_regression,0.01040954701602459,0.013127641752362251,0.4583333333333333,0.013562705367803574,0.019755113869905472,0.47465437788018433
lstm_sequence,0.006050651427358389,0.008267163299024105,0.5740740740740741,0.007401063106954098,0.012235671281814575,0.5806451612903226
