Date,Close,High,Low,Open,Volume,log_return,ma_5,ma_20,rolling_vol_20,sentiment_mean,sentiment_pos_mean,sentiment_neg_mean,news_count
2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000.0,-0.0178644435713629,3260.48994140625,3279.220495605469,0.0074414521276694,0.0,0.0,0.0,1.0
2020-02-03,3248.919921875,3268.43994140625,3235.659912109375,3235.659912109375,3760460000.0,0.0072284257612325,3261.54794921875,3279.9239868164063,0.0074629426455858,0.0,0.0,0.0,1.0
2020-02-04,3297.590087890625,3306.919921875,3280.610107421875,3280.610107421875,3996900000.0,0.014869315917506,3265.81796875,3282.4894897460936,0.008128946916748,0.0,0.0,0.0,1.0
2020-02-05,3334.68994140625,3337.580078125,3313.75,3324.909912109375,4121480000.0,0.0111877786589729,3278.0759765625,3287.364990234375,0.0084013214837101,0.0,0.0,0.0,1.0
2020-02-06,3345.780029296875,3347.9599609375,3334.389892578125,3344.919921875,3887250000.0,0.0033201550570019,3290.5,3292.0014892578124,0.0083751056904019,0.0,0.0,0.0,1.0
2020-02-07,3327.7099609375,3341.419921875,3322.1201171875,3335.5400390625,3733920000.0,-0.0054154910094583,3310.93798828125,3294.651989746094,0.0084125221384428,0.0,0.0,0.0,1.0
2020-02-10,3352.090087890625,3352.260009765625,3317.77001953125,3318.280029296875,3462730000.0,0.0072996901205732,3331.572021484375,3298.9889892578126,0.0084861390227319,0.0,0.0,0.0,1.0
2020-02-11,3357.75,3375.6298828125,3352.719970703125,3365.8701171875,3762940000.0,0.0016870486860021,3343.60400390625,3302.4699951171874,0.0083829703012607,0.0,0.0,0.0,1.0
2020-02-12,3379.449951171875,3381.469970703125,3369.719970703125,3370.5,3930910000.0,0.006441853105203,3352.556005859375,3307.2849975585937,0.0084435305936888,0.0,0.0,0.0,1.0
2020-02-13,3373.93994140625,3385.090087890625,3360.52001953125,3365.89990234375,3500890000.0,-0.0016317763599886,3358.18798828125,3311.5174926757813,0.0084705341104276,0.0,0.0,0.0,1.0
