date,close_usd,gold_close,vix_close,usd_close,btc_weekend_ret,ret_btc_next_bday,y_up_next,mom_14c
2014-09-17,457.3340148925781,117.54000091552734,12.649999618530273,22.530000686645508,0.0,-0.07192557601231164,0,
2014-09-18,424.4400024414063,117.77999877929688,12.029999732971191,22.43000030517578,0.0,-0.06984264508683835,0,
2014-09-19,394.7959899902344,117.08999633789062,12.109999656677246,22.549999237060547,0.0,0.018632453856960884,1,
2014-09-22,402.1520080566406,116.8499984741211,13.6899995803833,22.530000686645508,-0.12233974756738264,0.08364741783421215,1,
2014-09-23,435.7909851074219,117.5999984741211,14.930000305175781,22.530000686645508,0.0,-0.028880814347395978,0,
2014-09-24,423.2049865722656,117.05000305175781,13.270000457763672,22.6299991607666,0.0,-0.027483091679796234,0,
2014-09-25,411.5740051269531,117.38999938964844,15.640000343322754,22.670000076293945,0.0,-0.01736994378879475,0,
2014-09-26,404.4249877929688,117.05999755859375,14.850000381469727,22.799999237060547,0.0,-0.0716028390158373,0,
2014-09-29,375.4670104980469,117.02999877929688,15.979999542236328,22.780000686645508,-0.06267354074671017,0.030567238732558177,1,
2014-09-30,386.9440002441406,116.20999908447266,16.309999465942383,22.8700008392334,0.0,-0.008603337970520819,0,
2014-10-01,383.614990234375,116.7699966430664,16.709999084472656,22.850000381469727,0.0,-0.0222697222086099,0,-0.16119296238115766
2014-10-02,375.0719909667969,116.73999786376953,16.15999984741211,22.780000686645508,0.0,-0.04148536263261304,0,-0.11631328619037185
2014-10-03,359.5119934082031,114.61000061035156,14.550000190734863,23.079999923706055,0.0,-0.08186926705674102,0,-0.0893727329472217
2014-10-06,330.0790100097656,116.02999877929688,15.460000038146973,22.81999969482422,-0.12258744944234379,0.018504665621736027,1,-0.17921829706921166
2014-10-07,336.18701171875,116.36000061035156,17.200000762939453,22.780000686645508,0.0,0.04983235561959076,1,-0.2285590496189811
2014-10-08,352.94000244140625,117.47000122070312,15.109999656677246,22.68000030517578,0.0,0.03424377642532228,1,-0.16603061485633286
2014-10-09,365.0260009765625,117.63999938964844,18.760000228881836,22.75,0.0,-0.009489705523839986,0,-0.11309753184249949
2014-10-10,361.56201171875,117.58999633789062,21.239999771118164,22.860000610351562,0.0,0.07979817793617383,1,-0.10598498452860439
2014-10-13,390.41400146484375,118.5199966430664,24.639999389648438,22.729999542236328,0.17132526303650686,0.026781810112118443,1,0.03980906590693567
2014-10-14,400.8699951171875,118.58999633789062,22.790000915527344,22.829999923706055,0.0,-0.015209381938148914,0,0.035989690663921214
